title,artist,album,isrc,upc,spotify_url,local_path,filename
Soul Symphony,Excavationpro,Done,QZ-S64-22-61368,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\34\instrumental\Done\Soul Symphony QZS642261368.wav,Soul Symphony QZS642261368.wav
Golden Age,Excavationpro,Done,QZ-S64-22-68790,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\20\Done\Golden Age QZS642268790.wav,Golden Age QZS642268790.wav
Bust a Move,Excavationpro,Done,QZ-S64-22-75676,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\32\Instrumentals\Done\Bust a Move QZS642275676.wav,Bust a Move QZS642275676.wav
FUTURE ROCK (Mastered with Thunder at 100pct),Excavationpro,Done,QZ-S64-22-82341,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\34\instrumental\Done\FUTURE ROCK (Mastered with Thunder at 100pct) QZS642282341.wav,FUTURE ROCK (Mastered with Thunder at 100pct) QZS642282341.wav
American State of Mind,Excavationpro,Done,QZ-S64-22-82725,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\31\Vocals\Done\American State of Mind QZS642282725.wav,American State of Mind QZS642282725.wav
Overdose Instrumental,Excavationpro,instrumentals,QZ-S64-22-99908,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\19\instrumentals\Overdose Instrumental QZS642299908.wav,Overdose Instrumental QZS642299908.wav
Fantastic Voyage,Excavationpro,Instrumentals,QZ-S64-23-00915,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\27\Instrumentals\Fantastic Voyage QZS642300915.wav,Fantastic Voyage QZS642300915.wav
Blur,Excavationpro,Instrumentals,QZ-S64-23-16232,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\24\Instrumentals\Blur QZS642316232.wav,Blur QZS642316232.wav
Never Look Back,Excavationpro,instrumental,QZ-S64-23-21083,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\23\instrumental\Never Look Back QZS642321083.wav,Never Look Back QZS642321083.wav
Look Into My Eyes,Excavationpro,Done,QZ-S64-23-21860,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\20\Done\Look Into My Eyes QZS642321860.wav,Look Into My Eyes QZS642321860.wav
